observation_id,year,month,latitude,longitude,water_table_depth_ft,long_term_average_depth_ft,rock_type_code
143218,2022,4,37.9391111,-105.2803611,139.06,46.4316929499201,3
144753,2022,4,38.0345,-105.5066194,21.22,45.3850979631283,2
150517,2022,4,38.53827778,-106.0660556,25.94,164.32750907104,2
152104,2022,2,38.7029111,-104.3880583,28.75,13.1580132086201,4
163239,2022,9,39.5358171,-103.9132909,10.69,43.4514888662953,2
163960,2022,4,39.55942805,-103.9105128,12.27,22.6647225296421,2
169425,2022,3,40.23151,-103.867823,61.96,24.5890858666021,2
169641,2022,1,40.257877,-104.093548,97.6029032258065,16.7172255732608,4
169871,2022,1,40.335753,-103.489293,10.27,0.404184366997625,2
172284,2022,1,37.00006,-107.601475,2.78566666666667,13.5839189025019,4
172322,2022,3,39.260112,-103.190833,69,115.463627467607,2
172647,2022,8,38.908077,-107.741736,295.51,136.554410346031,2
172692,2022,8,37.159407,-107.678401,31.84,8.76010951800506,2
173893,2022,3,37.260349,-102.441051,123.43,117.86482170579,2
174268,2022,2,37.375613,-102.613021,218.39,84.0297084493641,2
178675,2022,1,39.97335,-102.980392,274,112.651714986786,2
182143,2022,8,39.920914,-108.21841,351.03,154.236545947369,2
189981,2022,1,37.0012696740436,-105.664985114203,125.62,2.75792940657848,2
190309,2022,2,37.1327897345165,-105.946132207551,4.3,4.74803639305108,4
190558,2022,3,37.1375109478187,-106.020578589111,44.82,21.8951608585144,4
196925,2022,1,39.8601333333333,-108.350955555556,59.6096774193548,80.4888984321659,4
197174,2022,1,41.18255,-73.3049194,4.85,1.13168462618059,6
197896,2022,1,41.49626667,-71.8508306,4.37,7.03165382042327,6
210495,2022,1,42.0233833333333,-73.3248388888889,9.64,4.80346089064457,1
210555,2022,5,38.8908333,-76.9134722,14.9,0.76770704366076,2
211047,2022,9,38.47591667,-75.3602,5.62,0.108103818006456,3
211158,2022,10,38.5523375,-75.6393725,16.12,7.10620343044424,3
213268,2022,1,39.1393611,-75.4914722,15.82,7.62844337161102,3
215691,2022,2,25.43688889,-80.5016667,6.66,2.29628400106611,1
215814,2022,9,25.4391111,-80.5084444,5.33,1.41559535574005,1
215928,2022,4,25.61571667,-80.5830167,1.57,3.25802371909534,1
217572,2022,2,26.00938889,-80.23213889,6.59,2.44524692046018,1
241278,2022,2,28.5317361,-82.52698889,43.7,26.036907721219,2
241778,2022,2,29.24630278,-81.6439861,16.49,11.0590794436028,2
242281,2022,1,27.31483472,-82.17755,3.9,17.9681847061978,3
242597,2022,1,30.27523528,-83.15327583,48.49,5.45160391089295,3
250612,2022,3,32.14602269,-82.3379029,154.44,26.6391367829106,2
250705,2022,3,32.40333333,-81.3458333,66.83,22.8866864724997,4
250973,2022,6,33.2485,-82.2131667,100.49,46.0790399565948,3
251157,2022,1,33.32955556,-82.0492778,214.74,82.7737869559673,2
251263,2022,6,33.34969444,-81.99463889,84.56,18.2401899554945,2
255126,2022,2,34.03483478,-83.2237633,13.47,16.4460619853535,6
255415,2022,1,30.735236134823,-81.5512076059245,2.29322580645161,1.40268267822211,2
257266,2022,1,33.2651141972895,-84.2821459990498,13.6929032258065,27.255933783001,6
258193,2022,1,34.4895323020576,-84.8543842643617,17.7674193548387,2.710226135356,1
259005,2022,4,41.6469,-93.65375,8.82,2.72130012300074,3
259011,2022,5,41.65249167,-93.6540667,11.04,0.0559479143255169,3
260377,2022,2,41.98194444,-92.6630556,7.42,0.0558152986350808,1
262240,2022,1,40.9141666666667,-91.8091666666667,18.2158064516129,58.5815287902254,1
262283,2022,1,41.0158248171841,-95.1308217194993,14.9238709677419,58.7305247581266,2
262449,2022,1,41.9108333333333,-93.1633333333333,15.6167741935484,70.9444269873179,3
262617,2022,1,42.0366666666667,-95.3991666666667,26.9406451612903,93.8796310149679,2
262752,2022,1,43.0341666666667,-91.8366666666667,13.2064516129032,237.404906265791,1
262926,2022,1,43.0861111111111,-93.7141666666667,3.82161290322581,26.6919486884588,1
263106,2022,11,42.14503889,-113.1893417,430.59,49.328218995629,4
266020,2022,6,42.62372778,-113.8336028,135.04,14.5400071302535,4
277274,2022,4,43.38514444,-112.975336,688.92,51.4616491444159,9
277526,2022,1,43.433075,-113.0926028,635,0.575862121800283,9
292040,2022,4,43.98999444,-114.0408278,40.31,26.4847466728704,4
292195,2022,4,44.00085556,-113.86125,29.24,1.70760873837596,4
292206,2022,11,44.0053361,-113.804025,20.68,3.9156653496294,4
298246,2022,3,40.32041667,-89.89575,16.1775,13.9152925682821,1
